Spaceward Ho!,1990
Fury3,1995
Marios Game Gallery,1995
MechWarrior 2: 31st Century Combat,1995
AquaNox,1996
Close Combat,1996
Deadly Tide,1996
Descent II,1996
F-22 Lightning II,1996
Flight Unlimited,1996
Furcadia,1996
Grand Prix Manager 2,1996
Hind,1996
NASCAR Racing 2,1996
Netrek,1996
SimTunes,1996
Titanic: Adventure Out of Time,1996
Top Gun: Fire At Will,1996
Carmageddon,1997
Dungeon Keeper,1997
F-22 Raptor,1997
Forbes Corporate Warrior,1997
Fragile Allegiance,1997
G-Police,1997
"I-War, Independence War",1997
International Rally Championship,1997
Interstate 76,1997
Interstate 76 Nitro Pack,1997
Lego Island,1997
Need for Speed II,1997
RayForce,1997
SODA Off-Road Racing,1997
Star Trek Generations,1997
Theme Hospital,1997
Wing Commander: Prophecy,1997
Wing Commander: Prophecy Special Edition,1997
Age of Empires: The Rise of Rome,1998
Carnivores,1998
Close Combat III: The Russian Front,1998
Colin McRae Rally,1998
CyberStrike 2,1998
Deer Hunter II: The Hunt Continues,1998
Grand Prix Legends,1998
Intellivision Lives!,1998
Knights and Merchants: The Shattered Kingdom,1998
Lula: The Sexy Empire,1998
MechCommander,1998
Monster Truck Madness 2,1998
Need for Speed III: Hot Pursuit,1998
Police Quest: SWAT 2,1998
Pro Pinball: Big Race USA,1998
Soldiers at War,1998
Thief: The Dark Project,1998
Viper Racing,1998
X-COM: Interceptor,1998
Carnivores 2,1999
Deer Hunter 3: The Legend Continues,1999
Descent 3: Mercenary,1999
Formula One 99,1999
Gearhead Garage,1999
Interstate 82,1999
Jagged Alliance 2,1999
King of Dragon Pass,1999
Lego Rock Raiders,1999
MechWarrior 3,1999
MechWarrior 3: Pirates Moon,1999
Midtown Madness,1999
Mobil 1 Rally Championship,1999
NASCAR Legends,1999
NASCAR Racing 1999 Edition,1999
Need for Speed: High Stakes,1999
Panzer Elite,1999
Redline,1999
The Settlers III: Quest of the Amazons,1999
Star Wars: X-Wing Alliance,1999
SWAT 3: Close Quarters Battle,1999
Test Drive 6,1999
Tom Clancys Rainbow Six: Rogue Spear,1999
Beach Head 2000,2000
Colin McRae Rally 2.0,2000
Dirt Track Racing,2000
Dirt Track Racing: Sprint Cars,2000
Elasto Mania,2000
Europa Universalis,2000
F1 2000,2000
F1 Manager,2000
F1 Racing Championship,2000
Homeworld: Cataclysm,2000
Majesty: The Fantasy Kingdom Sim,2000
MechWarrior 4: Vengeance,2000
Midtown Madness 2,2000
NASCAR 2000,2000
Need for Speed: Porsche Unleashed,2000
The Sims: Livin Large,2000
Submarine TITANS,2000
Tachyon: The Fringe,2000
Thief II: The Metal Age,2000
4x4 EVO 2,2001
Carnivores Ice Age,2001
Comanche 4,2001
Deer Hunter 4: World-Class Record Bucks,2001
Deer Hunter 5: Tracking Trophies,2001
Empire Earth,2001
Frank Herberts Dune,2001
Harukanaru Toki no Naka de 2,2001
